topic,hashtags
lda_1,"france, sarahhalimi, icitoutcommence, fcnol, jeuxvideo, nantes, retrogaming, dunkerque, tchad, covid_19"
lda_2,"kohlanta, covid19, kohlanta2021, thevoice, concours, notredamedeparis, castex18h, vaccination, covid19france, paris"
lda_3,"lvda4, lmad, marseille, hautsdefrance, afp, spring, dna, accident, electricfull, wweraw"
lda_4,"hdpros, macron, regionales2021, patrimoine, streetart, imolagp, football, ede, rn, parismaville"
lda_5,"ucl, missionalpha, gay, culture, sport, psgbay, printemps, strasbourg, thomaspesquet, confinement"
lda_6,"chat, perdu, trouvé, chien, nature, warzone, rouen, saccageaparis, rmclive, jourdelaterre"
lda_7,"olasm, ol, cotedazurfrance, montpellier, nice06, lille, photography, jeudiphoto, ollosc, ilovenice"
lda_8,"teamom, sdrom, ramadanmubarak, vaccination, wrestlemania, artist, appleevent, psgfcb, smackdown, ramadan"
lda_9,"saccageparis, paris, rambouillet, art, avenuedeflandre, love, oscars, presidentielle2022, fcmpsg, jourdelaterre"
lda_10,"topchef, pekinexpress, eelv, ramadan, biarritz, covid, bordeaux, photo, annehidalgo, covid19france"
lda_11,"noplp, handicap, aah17juin, baptiste, punchline, twitch, aah, omfcl, f1, warzone"
lda_12,"superleague, tpmp, reta, psgsco, psg, perez, tiktok, toulouse, superligue, rap"
lda_13,"stopdictature, macrondestitution, superleagueout, lyon, om, itc, prediction, soleil, championsleague, rap"
